name,author,publisher,price
顾城的诗,顾城 , 人民文学出版社 , 20.00
会饮篇,[古希腊] 柏拉图 , 王太庆 , 2013-1 
众病之王,[美] 悉达多·穆克吉 , 李虎 , 2013-2 
火星救援,[美]安迪•威尔 , 陈灼 , 2015-10 
父权制与资本主义,[日] 上野千鹤子 , 邹韵 , 2020-3 
上学记,何兆武 口述 , 生活·读书·新知三联书店 , 19.80元
总统是靠不住的,林达 , 生活·读书·新知三联书店 , 21.80
李光耀观天下,李光耀 , 北京大学出版社 , 58.00元
毛姆短篇小说精选集,[英] 威廉·萨默塞特·毛姆 , 冯亦代 , 2012-11 
目送,龙应台 , 生活·读书·新知三联书店 , 39.00元
规训与惩罚,[法] 米歇尔·福柯 , 刘北成 , 2003-1 
亲爱的安德烈,龙应台 , 人民文学出版社 , 26.00
时间的秩序,[意] 卡洛·罗韦利 , 杨光 , 2019-6 
金锁记,张爱玲 , 哈尔滨出版社 , 13.5元
从一到无穷大,[美] G. 伽莫夫 , 暴永宁 译 , 2002-11 
认识电影,[美] 路易斯·贾内梯 , 焦雄屏 , 2007-11 
分成两半的子爵,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 2012-4-1 
帷幕,[英] 阿加莎·克里斯蒂 , 李杨 , 2015-2 
跨越边界的社区（修订版）,项飙 , 生活·读书·新知三联书店 , 68.00元
坟,鲁迅 , 人民文学出版社 , 16.00元
中国哲学简史,冯友兰 , 赵复三 , 2004-1 
青铜时代,王小波 , 花城出版社 , 29.00元
荆棘鸟,[澳] 考琳·麦卡洛 , 曾胡 , 1998-7 
黑箱：日本之耻,[日]伊藤诗织 , 匡匡 ,中信出版集团 
如父如子,[日] 是枝裕和 , 丹勇 , 2018-4 
历史深处的忧虑,林达 , 生活·读书·新知三联书店 , 19.00元
刘擎西方现代思想讲义,刘擎 , 新星出版社 , 79.00元
可能性的艺术,刘瑜 , 广西师范大学出版社 , 82.00元
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 宁蒙 , 2015-12 
唐诗三百首,蘅塘退士 , 中华书局 , 0.65
美丽新世界,【英】奥尔德斯·赫胥黎 , 陈超 , 2017-6 
哭泣的骆驼,三毛 , 哈尔滨出版社 , 15.80元
文学回忆录,木心 口述 , 广西师范大学出版社 , 98.00元
灿烂千阳,[美] 卡勒德·胡赛尼 , 李继宏 , 2007-9 
美的历程,李泽厚 , 生活·读书·新知三联书店 , 43.00元
最好的告别,[美] 阿图·葛文德（Atul Gawande） , 王一方 主编 , 2015-7-31 
四世同堂,老舍 , 北京十月文艺出版社 , 36.00元
窗边的小豆豆,[日] 黑柳彻子 著 , 赵玉皎 , 2003-1 
人间词话,王国维 , 上海古籍出版社 , 9.80元
道德经,黄元吉 , 陕西人民出版社 , 4.50元
呼兰河传,萧红 , 百花文艺出版社 , 19.00
冬牧场,李娟 , 新星出版社 , 29.80元
看见,柴静 , 广西师范大学出版社 , 39.80元
绝叫,[日] 叶真中显 , 林佩瑾 , 2020-7 
浪潮之巅,吴军 , 电子工业出版社 , 55.00元
罪与罚,[俄] 陀思妥耶夫斯基 , 岳麟 , 2006-8 
棋王·树王·孩子王,阿城 , 江苏凤凰文艺出版社 , 58.00
离开的，留下的,[意] 埃莱娜·费兰特 , 陈英 , 2017-10 
也许你该找个人聊聊,[美]洛莉·戈特利布 , 果麦文化, 2021-7-28 
爱你就像爱生命,王小波 , 上海锦绣文章出版社 , 18.00元
我也有一个梦想,林达 , 生活·读书·新知三联书店 , 25.00元
社会心理学,[美] 戴维·迈尔斯 , 张智勇 , 2006-1 
檀香刑,莫言 , 浙江文艺出版社 , 56.00元
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 , 2015-6-1 
激荡三十年（上）,吴晓波 , 中信出版社 浙江人民出版社 , 35.00
倾城之恋,张爱玲 , 北京十月文艺出版社 , 29.80元
天朝的崩溃,茅海建 , 生活·读书·新知三联书店 , 32.00元
翦商,李硕 , 广西师范大学出版社 , 99.00元
天生有罪,[南非] 特雷弗·诺亚 , 董帅 , 2018-2-1 
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 , 魏然 , 2013-6 
万物有灵且美,[英] 吉米·哈利 , 种衍伦 , 2010-1 
亲密关系（第6版）,[美] 罗兰·米勒 (Rowland S. Miller) , 王伟平 译 , 2015-6 
浮生六记,（清）沈复 , 人民文学出版社 , 38
情书,[日] 岩井俊二 , 穆晓芳 , 2004-7 
倚天屠龙记,金庸 , 生活·读书·新知三联书店 , 47.00
送你一颗子弹,刘瑜 , 上海三联书店 , 25.00元
孩子你慢慢来,龙应台 , 生活·读书·新知三联书店 , 28.00元
九州·缥缈录,江南 , 新世界出版社 , 20.00元
理想国,[古希腊] 柏拉图 , 郭斌和 , 1986-8 
渴望生活,[美] 欧文·斯通 , 常涛 , 2008-4 
东晋门阀政治,田余庆 , 北京大学出版社 , 49.00元
罗生门,[日] 芥川龙之介 , 林少华 , 2008-7 
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 宫英海 , 2006-5 
雨季不再来,三毛 , 北京十月文艺出版社 , 28.00元
荒原狼,[德]赫尔曼·黑塞 , 赵登荣 , 2008-7 
金色梦乡,[日] 伊坂幸太郎 , 李彦桦 , 2010-9 
这些人，那些事,吴念真 , 译林出版社 , 28.00元
遥远的向日葵地,李娟 , 花城出版社 , 38.00元
面纱,[英] 威廉·萨默塞特·毛姆 , 于大卫 , 2016-4-1 
人间草木,汪曾祺 , 江苏文艺出版社 , 20.00元
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 , 王永年 , 2015-7 
昨日的世界,[奥] 斯蒂芬·茨威格 , 舒昌善 , 2004-5-1 
你当像鸟飞往你的山,塔拉·韦斯特弗 , 任爱红 , 2019-10 
13 67,陳浩基 , 皇冠文化出版有限公司 , NT$350
绿毛水怪,王小波 , 时代文艺出版社 , 30.00元
故事,[美] 罗伯特·麦基 , 周铁东 , 2014-9 
海的女儿,安徒生 , 叶君健 , 1978年6月 
國史大綱（上下）,錢穆 , 商务印书馆 , 76.00元
经济学原理（上下）,[美] 曼昆 , 梁小民 , 2003-8 
一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫 , 周颖琪 , 2019-10 
我的天才女友,[意] 埃莱娜·费兰特 , 陈英 , 2017-1 
长日将尽,[英] 石黑一雄 , 冯涛 , 2018-5 
西线无战事,[德] 埃里希·玛丽亚·雷马克 , 姜乙 , 2021-1 
一句顶一万句,刘震云 , 长江文艺出版社 , 29.80
阿勒泰的角落,李娟 , 万卷出版公司 , 25.00元
全球通史(上),[美]斯塔夫里阿诺斯 , 吴象婴 , 2006-1-10 
鹿川有许多粪,李沧东 , 春喜 , 2021-8 
一个陌生女人的来信,[奥] 斯蒂芬·茨威格 , 张玉书 , 2007-7 
万水千山走遍,三毛 , 哈尔滨出版社 , 13.80
苏菲的世界,[挪] 乔斯坦·贾德 , 萧宝森 , 2007-10 
温柔的夜,三毛 , 北京十月文艺出版社 , 28.00元
爱的艺术,[美] 艾·弗洛姆 , 李健鸣 , 2008-4 
强风吹拂,三浦紫苑 , 林佩瑾 , 2015-1-1 
筚路维艰,萧冬连 , 社会科学文献出版社 , 45.00元
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 管延圻 , 2011-10-24 
德米安,[德] 赫尔曼·黑塞 , 丁君君 , 2009-3 
霸王别姬,李碧华 , 人民文学出版社 , 10.20元
2001：太空漫游,[英] 阿瑟·克拉克 , 郝明义 , 2019-5-10 
亮剑,都梁 , 解放军文艺出版社 , 28.00元
我不知道该说什么，关于死亡还是爱情,[白俄] S·A·阿列克谢耶维奇 , 方祖芳 , 2014-6-15 
安娜·卡列尼娜,[俄] 列夫·托尔斯泰 , 草婴 , 2007-8 
我的阿勒泰,李娟 , 云南人民出版社 , 22.00元
球状闪电,刘慈欣 , 四川科学技术出版社 , 22.00元
古文观止,吴楚材 , 中华书局 , 21.00元
平面国,埃德温·A·艾勃特 , 鲁冬旭 , 2020-8 
草房子,曹文轩 , 江苏少年儿童出版社 , 18.00元
流俗地,【马来西亚】黎紫书 , 北京十月文艺出版社 , 55
不能承受的生命之轻,米兰·昆德拉 , 许钧 , 2010-8 
恶意,[日] 东野圭吾 , 娄美莲 , 2016-11 
地下室手记,(俄罗斯) 陀思妥耶夫斯基 , 曾思艺 , 2020-5 
南京大屠杀,[美]张纯如（Iris Chang） , 谭春霞 , 2015-8 
半生缘,张爱玲 , 北京十月文艺出版社 , 29.60元
麦琪的礼物,[美] 欧·亨利 , 张经浩 , 2003-7 
额尔古纳河右岸,迟子建 , 北京十月文艺出版社 , 29.00元
冰与火之歌,[美]乔治·R.R.马丁 , 谭光磊 , 2013-10-1 
叫魂,[美] 孔飞力 , 陈兼 , 2012-5 
我们仨,杨绛 , 生活·读书·新知三联书店 , 23.00元
失明症漫记,[葡] 若泽·萨拉马戈 , 范维信 , 2014-2 
毛泽东选集 第一卷,毛泽东 , 人民出版社 , 40.00元
人生的枷锁,[英] 毛姆 , 张柏然 , 2007-3 
巨人的陨落,[英] 肯·福莱特 , 于大卫 , 2016-5-1 
看不见的城市,[意] 伊塔洛·卡尔维诺 , 张密 , 2012-4 
教父,[美]马里奥·普佐 , 周汉林 , 1997-8 
人生的智慧,(德)叔本华 , 韦启昌 , 2008-10-01 
海子的诗,海子 , 人民文学出版社 , 15.40
受戒,汪曾祺 , 漓江出版社 , 3.95元
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 徐翰林 , 2004-6 
桶川跟踪狂杀人事件,[日] 清水洁 , 王华懋 , 2021-2 
太白金星有点烦,马伯庸 , 湖南文艺出版社 , 45.00
斯通纳,[美] 约翰·威廉斯 , 杨向荣 , 2016-1 
鹿鼎记,金庸 , 广州出版社 花城出版社 , 108.00元
射雕英雄传,金庸 , 生活·读书·新知三联书店 , 47.00元
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 2006-5 
厌女,上野千鹤子 , 王兰 , 2015-1 
置身事内,兰小欢 , 上海人民出版社 , 65.00元
寻路中国,[美] 彼得·海斯勒 , 李雪顺 , 2011-1 
刀锋,[英]毛姆 , 周煦良 , 2007-3 
树上的男爵,[意大利]伊塔洛·卡尔维诺 , 吴正仪 , 2012-4-1 
秋园,杨本芬 , 北京联合出版公司 , 38.00元
格林童话全集,[德国]格林兄弟 , 魏以新 , 1994-11 
中国少年儿童百科全书（全四册）,林崇德 主编 , 浙江教育出版社 , 168.00元
无人生还,[英] 阿加莎・克里斯蒂 , 祁阿红 , 2008-3 
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 2008-9 
鼠疫,[法] 阿尔贝·加缪 , 刘方 , 2013-8 
史记（全十册）,司马迁 , （索隐）司马贞，（正义）张守节 , 1982-11 
黄金时代,王小波 , 花城出版社 , 19.00元
傲慢与偏见,[英] 奥斯丁 , 张玲 , 1993-7 
西游记（全二册）,吴承恩 , 黄肃秋 注释 , 2004-8 
始于极限,[日] 上野千鹤子 , 曹逸冰 , 2022-9-20 
悲惨世界（上中下）,[法] 雨果 , 李丹 , 1992-6 
台北人,白先勇 , 广西师范大学出版社 , 38.00元
诗经,孔丘 编订 , 北京出版社 , 19.90元
永恒的终结,[美] 艾萨克·阿西莫夫 , 崔正男 , 2014-9 
上帝掷骰子吗,曹天元 , 辽宁教育出版社 , 32.00元
孽子,白先勇 , 广西师范大学出版社 , 46.00元
神雕侠侣,金庸 , 有1996年11月北平第4次印本 , 1994-5 
雷雨,曹禺 , 人民文学出版社 , 9.20
最好的我们,八月长安 , 湖南文艺出版社 , 55
雕刻时光,[苏] 安德烈·塔可夫斯基 , 张晓东 , 2016-5 
孙子兵法,孙武 , 郭化若 , 2006-7 
野火集,龙应台 , 文汇出版社 , 25.00元
当呼吸化为空气,[美] 保罗·卡拉尼什 , 何雨珈 , 2016-12 
一千零一夜,纳训 , 人民文学出版社 , 22.00
论语,刘胜利 , 中华书局 , 9.80元
从零开始的女性主义,[日本] 上野千鹤子 , 吕灵芝 , 2021-9 
水浒传（全二册）,[明] 施耐庵 , 人民文学出版社 , 50.60元
你好，旧时光（上 下）,八月长安 , 新世界出版社 , 39.80元
你一生的故事,[美] 特德·姜 , 李克勤 , 2015-5 
银河系漫游指南,[英] 道格拉斯·亚当斯 , 徐百柯 , 2005-6 
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫 , 叶李华 , 2015-10-1 
庄子,孙通海 译注 , 方勇 译注 , 2007-04 
不存在的骑士,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 2012-4 
在细雨中呼喊,余华 , 作家出版社 , 25.00元
生死疲劳,莫言 , 浙江文艺出版社 , 69.90
现代艺术150年,[英] 威尔·贡培兹 , 王烁 , 2017-3 
二手时间,[白俄] S. A. 阿列克谢耶维奇 , 吕宁思 , 2016-1 
显微镜下的大明,马伯庸 , 湖南文艺出版社 , 52.00元
骆驼祥子,老舍 , 人民文学出版社 , 12.00
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 谢延光 , 2006-4-1 
解忧杂货店,[日] 东野圭吾 , 李盈春 , 2014-5 
象棋的故事,[奥] 斯蒂芬·茨威格 , 张玉书 , 2007-7 
中国历代政治得失,钱穆 , 生活·读书·新知三联书店 , 12.00元
局外人,[法] 阿尔贝·加缪 , 柳鸣九 , 2010-8 
人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 2014-11 
平凡的世界（全三部）,路遥 , 人民文学出版社 , 64.00元
白鹿原,陈忠实 , 人民文学出版社 , 39.00元
乡土中国,费孝通 , 上海人民出版社 , 38.00
围城,钱锺书 , 人民文学出版社 , 19.00
笑傲江湖（全四册）,金庸 , 生活·读书·新知三联书店 , 76.80元
罗杰疑案,[英] 阿加莎·克里斯蒂 , 常禾 , 2013-3 
彷徨,鲁迅 , 人民文学出版社 , 0.37元
我与地坛,史铁生 , 春风文艺出版社 , 25.00元
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 2006-5 
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 2006-7 
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 陈澄和 , 2015-4 
基督山伯爵,[法国] 大仲马 , 周克希 , 1991-12-1 
许三观卖血记,余华 , 作家出版社 , 24.00元
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 2012-9-1 
江城,[美] 彼得·海斯勒 , 李雪顺 , 2012-1 
卡拉马佐夫兄弟,[俄] 陀思妥耶夫斯基 , 荣如德 , 2015-2-1 
城南旧事,林海音 文 , 中国青年出版社 , 16.00元
万历十五年,[美] 黄仁宇 , 生活·读书·新知三联书店 , 18.00元
故事新编,鲁迅 , 人民文学出版社 , 0.31 元
月亮和六便士,[英] 毛姆 , 傅惟慈 , 2006-8 
朝花夕拾,鲁迅 , 人民文学出版社 , 0.25元
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 2008-04 
红楼梦,[清] 曹雪芹 著 , 人民文学出版社 , 59.70元
活着,余华 , 作家出版社 , 20.00元
1984,[英] 乔治·奥威尔 , 刘绍铭 , 2010-4-1 
三体全集,刘慈欣 , 重庆出版社 , 168.00元
哈利·波特,J.K.罗琳 (J.K.Rowling) , 苏农 , 2008-12-1 
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 2011-6 
飘,[美国] 玛格丽特·米切尔 , 李美华 , 2000-9 
三国演义（全二册）,[明] 罗贯中 , 人民文学出版社 , 39.50元
房思琪的初恋乐园,林奕含 , 北京联合出版公司 , 45.00元
动物农场,[英] 乔治·奥威尔 , 荣如德 , 2007-3 
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 , 丁钟华 等 , 1981-8 
白夜行,[日] 东野圭吾 , 刘姿君 , 2013-1-1 
小王子,[法] 圣埃克苏佩里 , 马振聘 , 2003-8 
撒哈拉的故事,三毛 , 哈尔滨出版社 , 15.80元
安徒生童话故事集,（丹麦）安徒生 , 叶君健 , 1997-08 
天龙八部,金庸 , 生活·读书·新知三联书店 , 96.00元
呐喊,鲁迅 , 人民文学出版社 , 0.36元
悉达多,[德] 赫尔曼·黑塞 , 姜乙 , 2017-1 
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 2012-9 
邓小平时代,【美】傅高义 (Ezra.F.Vogel) , 冯克利 , 2013-1-18 
明朝那些事儿（1-9）,当年明月 , 中国海关出版社 , 358.20元
失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 2018-7 
新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 2017-4 
沉默的大多数,王小波 , 中国青年出版社 , 27.00元
野草,鲁迅 , 人民文学出版社 , 0.20元
